course1,course2,course3,count
0,1,2,77
0,1,14,13
0,1,15,3
0,1,17,1
0,1,22,1
0,1,27,1
0,1,29,1
0,1,30,1
0,1,34,1
0,1,42,1
0,1,48,4
0,1,49,2
0,1,60,2
0,1,70,1
0,1,73,1
0,1,78,1
0,1,88,1
0,1,94,1
0,1,97,1
0,1,100,2
0,1,103,1
0,1,118,2
0,1,132,1
0,1,136,1
0,1,141,2
0,1,156,1
0,1,163,1
0,1,179,1
0,1,194,1
0,1,198,2
0,2,3,77
0,2,9,1
0,2,10,63
0,2,12,22
0,2,13,39
0,2,14,39
0,2,15,18
0,2,17,2
0,2,26,2
0,2,29,1
0,2,30,3
0,2,41,1
0,2,42,1
0,2,47,22
0,2,48,23
0,2,49,21
0,2,53,1
0,2,55,1
0,2,58,1
0,2,59,1
0,2,60,4
0,2,68,6
0,2,70,1
0,2,73,5
0,2,74,15
0,2,77,1
0,2,85,1
0,2,86,1
0,2,87,1
0,2,88,2
0,2,94,5
0,2,106,10
0,2,110,1
0,2,111,2
0,2,118,2
0,2,120,1
0,2,125,1
0,2,127,1
0,2,130,1
0,2,131,1
0,2,139,1
0,2,147,2
0,2,154,2
0,2,155,1
0,2,157,1
0,2,158,1
0,2,161,1
0,2,163,6
0,2,164,5
0,2,168,1
0,2,175,1
0,2,182,5
0,2,186,1
0,2,189,1
0,2,195,1
0,2,198,1
0,2,199,1
0,3,12,1
0,3,13,1
0,3,14,11
0,3,15,5
0,3,26,1
0,3,30,1
0,3,35,1
0,3,42,3
0,3,47,2
0,3,48,5
0,3,60,2
0,3,66,1
0,3,68,1
0,3,70,1
0,3,74,2
0,3,86,1
0,3,94,1
0,3,97,1
0,3,106,2
0,3,119,1
0,3,126,1
0,3,134,1
0,3,136,1
0,3,150,1
0,3,152,1
0,3,174,2
0,3,182,1
0,4,10,1
0,4,14,1
0,4,17,1
0,4,39,1
0,4,61,1
0,4,75,1
0,4,86,1
0,4,89,1
0,4,94,1
0,4,104,1
0,4,105,1
0,4,134,1
0,4,170,1
0,4,171,1
0,4,173,1
0,4,175,1
0,4,183,1
0,4,184,1
0,5,25,2
0,5,26,1
0,5,27,1
0,5,38,1
0,5,52,1
0,5,85,1
0,5,103,1
0,5,108,1
0,5,119,1
0,5,143,1
0,5,145,1
0,5,151,1
0,5,186,1
0,6,7,1
0,6,30,1
0,6,50,1
0,6,54,1
0,6,57,1
0,6,106,1
0,6,112,1
0,6,115,1
0,6,117,1
0,6,158,1
0,6,174,1
0,6,175,1
0,7,9,2
0,7,48,1
0,7,59,1
0,7,74,1
0,7,113,1
0,7,124,1
0,7,139,1
0,7,153,1
0,7,175,1
0,8,10,1
0,8,11,1
0,8,12,1
0,8,38,1
0,8,46,1
0,8,49,1
0,8,50,1
0,8,64,1
0,8,69,1
0,8,72,1
0,8,83,1
0,8,88,1
0,8,92,1
0,8,99,1
0,8,105,1
0,8,118,1
0,8,141,1
0,8,164,1
0,8,185,1
0,8,190,2
0,9,23,1
0,9,70,1
0,9,78,1
0,9,92,1
0,9,116,1
0,9,124,1
0,9,158,1
0,9,159,1
0,9,170,1
0,9,188,1
0,10,12,20
0,10,13,7
0,10,14,4
0,10,15,1
0,10,17,1
0,10,21,1
0,10,27,1
0,10,30,1
0,10,33,1
0,10,47,10
0,10,48,8
0,10,58,1
0,10,59,4
0,10,60,2
0,10,68,1
0,10,73,2
0,10,74,4
0,10,77,1
0,10,86,2
0,10,89,1
0,10,90,1
0,10,94,2
0,10,100,1
0,10,101,1
0,10,102,1
0,10,110,1
0,10,115,1
0,10,118,4
0,10,124,1
0,10,135,1
0,10,141,1
0,10,151,1
0,10,154,3
0,10,155,1
0,10,158,1
