,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544
1,0,42,78,94,26,5,10,4,15,42,107,55,15,16,57,5,8,34,11,10,0,50,16,53,36,2,13,17,42,33,24,4,9,10,19,33,28,4,5,9,9,0,11,23,40,10,17,3,18,9,10,25,25,12,1,23,19,14,8,19,7,33,15,44,20,9,5,0,16,12,21,21,11,2,1,2,17,9,4,6,2,17,1,10,2,0,1,2,5,0,26,11,19,4,34,19,12,1,16,3,6,8,15,3,24,7,10,6,0,7,7,3,20,8,7,23,25,14,5,5,2,0,4,7,14,12,3,4,0,4,13,20,1,14,2,1,16,3,8,12,9,6,3,4,3,10,17,0,1,8,10,12,2,14,8,11,5,1,1,10,3,8,3,0,0,10,0,1,10,1,0,0,4,0,1,1,1,0,0,3,5,2,2,4,5,0,1,0,2,2,7,7,3,3,1,2,0,0,5,0,0,3,3,0,13,2,3,3,1,6,3,3,1,0,1,2,1,7,0,0,0,2,0,1,0,2,1,2,0,2,0,8,3,3,15,1,7,1,4,2,1,2,4,0,0,6,0,2,8,7,6,6,0,0,8,0,5,3,0,1,0,3,0,0,6,0,5,1,0,0,2,1,1,0,0,3,1,0,2,0,4,7,1,0,1,1,4,4,0,0,4,2,7,3,1,2,0,0,1,1,4,4,0,4,0,4,0,3,0,1,0,3,1,0,1,3,3,2,1,7,0,6,4,5,1,2,2,0,2,6,2,1,0,0,1,0,6,3,1,0,2,2,0,1,0,2,0,1,0,0,0,1,3,0,1,4,4,2,0,2,2,0,0,1,0,2,2,0,2,5,0,2,0,2,1,0,8,0,0,0,1,2,0,1,0,1,0,5,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,1,3,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0,0,1,3,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,42,0,19,9,5,5,131,43,25,8,8,24,6,21,8,113,21,18,2,6,0,2,4,3,0,2,63,14,1,1,5,0,0,0,11,75,3,3,9,1,7,0,55,6,1,7,0,13,57,9,5,3,80,2,0,80,13,1,0,3,3,3,7,1,7,2,6,2,3,3,28,0,6,0,1,8,1,0,1,2,0,9,2,0,3,0,5,0,3,0,0,1,0,38,0,0,2,27,1,3,0,3,2,0,12,1,1,0,0,19,0,0,0,25,0,2,0,1,0,2,0,9,0,1,0,3,2,0,25,2,0,5,2,2,1,1,0,2,1,0,0,0,0,1,15,1,1,0,0,0,3,0,2,0,0,39,0,13,1,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,25,0,0,0,25,25,0,0,0,6,1,0,0,0,1,1,0,2,0,6,7,0,0,1,1,0,0,10,9,1,0,0,3,0,0,0,0,1,0,1,4,0,0,0,1,11,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,15,0,0,0,3,5,0,0,2,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,78,19,0,32,13,10,10,8,32,29,35,32,39,16,0,16,14,10,18,15,7,16,16,0,14,14,3,0,10,8,13,8,13,26,6,13,24,1,0,4,7,18,8,8,8,4,9,0,0,4,0,10,8,8,0,7,9,6,10,9,4,11,12,10,8,4,5,9,10,4,6,5,9,6,3,10,12,16,3,6,1,2,15,2,4,19,3,4,3,24,2,3,5,0,7,5,3,2,13,12,3,0,1,5,5,4,8,2,19,0,13,5,6,2,0,0,2,4,3,11,6,5,12,0,3,1,1,1,0,7,3,1,2,3,3,3,4,0,6,9,1,3,13,1,0,0,0,4,15,3,6,0,4,0,7,4,0,0,4,6,3,2,1,1,2,2,1,1,1,2,0,0,3,5,0,3,2,0,0,0,0,11,1,0,3,0,0,0,0,2,3,1,6,6,8,2,1,2,4,0,0,3,3,2,0,3,0,1,1,4,0,0,0,2,2,0,1,1,1,2,2,1,0,0,4,4,1,1,2,1,3,3,0,0,6,1,3,2,3,3,4,0,1,1,0,0,4,0,5,2,3,1,4,2,0,0,1,1,1,1,0,1,4,0,1,0,1,0,3,0,0,1,0,2,0,3,1,1,0,1,0,2,2,0,3,4,1,1,1,0,0,1,2,0,4,1,0,2,0,0,2,3,0,1,1,0,0,5,0,2,2,2,1,0,1,1,0,3,2,5,0,0,0,0,1,1,1,2,0,0,1,0,1,1,0,1,0,0,2,2,0,1,1,2,1,1,0,5,0,0,0,1,0,0,0,6,2,0,1,1,0,0,2,2,0,1,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,94,9,32,0,3,2,4,0,15,20,6,16,12,0,0,1,9,0,12,2,0,48,6,9,0,30,0,13,0,106,48,30,20,0,1,1,8,11,1,58,5,21,4,10,68,6,29,1,1,6,1,75,0,3,0,0,0,30,0,19,26,3,4,0,0,0,2,0,0,12,0,1,1,18,3,0,4,0,2,1,43,0,3,11,1,0,2,1,0,0,12,5,0,0,18,42,49,1,6,1,1,2,0,0,1,27,5,0,0,0,0,0,1,0,0,3,0,0,0,2,0,2,0,1,0,0,1,0,0,2,0,0,0,5,0,10,0,3,0,0,18,0,0,0,0,0,0,0,0,0,6,28,6,11,6,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,2,5,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,4,2,0,0,1,1,1,1,0,0,0,0,0,2,14,1,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,5,0,8,1,2,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,7,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,5,13,3,0,59,13,59,14,9,1,21,24,28,1,2,32,1,224,8,1,7,6,1,0,41,5,5,0,27,5,49,163,0,0,0,5,5,17,27,2,7,4,5,12,5,40,30,0,1,0,17,0,0,0,0,1,16,0,4,16,0,5,0,1,1,1,2,0,3,0,0,1,49,21,3,2,0,2,1,9,0,3,46,1,0,7,5,3,0,2,6,0,1,6,1,1,3,11,3,0,1,0,0,3,8,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,2,0,8,0,0,1,0,1,2,0,0,6,0,0,9,0,2,0,0,3,0,0,0,0,0,0,2,0,0,1,0,5,5,7,0,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,4,1,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,1,3,2,0,0,1,2,1,3,0,0,0,0,3,0,0,0,0,0,0,1,16,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,10,2,59,0,105,373,37,2,2,7,8,1,2,52,90,3,22,2,1,3,4,0,3,7,5,5,2,1,1,0,16,0,2,0,3,3,7,0,3,0,6,0,0,12,0,89,7,2,3,2,0,3,0,0,1,1,3,1,2,2,2,0,0,2,4,1,2,3,1,1,3,0,0,5,2,0,1,2,0,0,3,3,2,0,3,1,4,1,0,0,0,0,0,0,0,18,1,1,0,2,0,0,0,0,1,1,0,23,0,0,0,16,1,0,0,0,0,1,0,14,0,0,0,0,1,2,29,2,0,0,45,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,30,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,2,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,8,1,0,0,0,1,4,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,15,0,1,0,1,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,20,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10,131,10,4,13,105,0,100,40,7,2,13,11,42,4,149,0,2,11,11,3,8,11,0,0,8,4,8,0,3,5,15,7,1,0,8,4,1,8,5,6,0,20,3,0,13,1,0,19,5,7,2,3,2,2,3,0,0,0,4,0,2,5,0,2,9,7,1,0,3,9,3,0,0,49,13,5,1,0,8,0,0,4,1,3,1,12,24,0,1,0,1,1,1,0,0,2,5,3,2,0,4,0,0,0,0,2,0,1,20,0,1,2,16,2,4,0,2,2,0,1,0,0,0,0,1,2,4,0,3,0,2,11,2,5,2,0,0,0,1,0,0,0,0,5,0,0,14,0,1,0,0,6,0,0,2,0,26,4,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,9,0,12,0,0,2,0,0,2,0,0,0,0,5,1,0,0,0,1,1,0,0,0,13,3,0,0,0,0,4,0,9,0,1,2,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,1,7,0,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,43,8,0,59,373,100,0,33,3,1,9,5,92,2,34,104,1,25,1,0,0,1,2,0,1,6,3,0,2,1,0,7,0,1,0,2,2,7,0,3,0,1,0,0,8,0,108,8,1,0,1,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,2,1,0,0,0,4,8,0,0,4,1,0,0,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,5,1,2,0,2,0,0,0,0,1,0,0,19,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,15,25,32,15,14,37,40,33,0,20,6,19,85,15,4,37,24,0,0,20,41,1,17,3,2,8,9,25,3,6,4,35,13,0,4,7,5,17,24,1,21,2,5,1,5,7,6,9,4,18,2,2,4,3,8,4,5,1,4,2,1,0,6,4,2,10,5,22,0,4,5,1,9,4,22,13,7,0,2,6,1,4,12,6,5,4,11,8,2,0,2,5,0,2,0,1,3,0,7,9,1,4,0,0,1,2,3,0,0,4,0,0,1,5,3,3,0,0,0,2,0,7,0,0,0,1,2,1,9,4,1,2,0,2,3,0,2,1,6,0,1,8,5,0,2,0,3,7,0,0,2,0,6,3,0,0,3,2,6,0,1,2,0,8,0,1,0,11,0,3,0,5,0,0,6,0,0,0,4,0,2,0,3,0,0,1,0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,2,0,0,4,1,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,1,0,4,0,0,1,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,42,8,29,20,9,2,7,3,20,0,23,19,44,5,3,6,14,7,1,13,6,1,13,11,8,3,15,44,5,12,6,11,7,0,1,2,19,16,10,7,34,10,2,5,2,10,9,0,7,22,16,8,4,19,2,4,7,4,10,6,6,14,6,4,6,5,14,5,16,15,1,1,16,10,1,9,6,0,3,7,11,0,17,7,14,2,4,2,9,2,16,6,1,1,3,7,4,0,7,11,2,0,1,0,8,7,12,0,0,0,0,1,0,1,5,2,0,0,1,4,0,2,0,6,0,0,8,0,0,3,1,0,0,19,0,8,1,1,5,1,2,11,14,1,1,1,2,1,0,1,2,4,2,5,1,2,5,1,2,0,3,1,1,0,0,5,1,1,0,7,0,1,0,0,3,0,2,0,1,1,4,0,4,1,3,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,4,1,2,5,1,0,0,0,1,0,1,2,0,0,0,0,3,1,4,0,0,0,1,0,0,3,0,0,0,0,0,3,0,1,0,7,0,0,1,6,2,5,0,2,1,0,1,1,3,1,0,0,1,0,0,2,1,1,1,0,0,0,3,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,1,1,1,3,2,1,0,0,1,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,3,2,0,4,0,1,0,0,1,1,1,1,0,1,0,2,0,6,1,3,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
