a,b,c,triplets_mapped,co
0,2,1,"(0, 2, 1)",77
2,3,0,"(2, 3, 0)",77
0,2,3,"(0, 2, 3)",77
0,1,2,"(0, 1, 2)",77
4,5,6,"(4, 5, 6)",77
0,3,2,"(0, 3, 2)",77
3,0,2,"(3, 0, 2)",77
6,5,4,"(6, 5, 4)",77
6,4,5,"(6, 4, 5)",77
5,6,4,"(5, 6, 4)",77
5,4,6,"(5, 4, 6)",77
3,2,0,"(3, 2, 0)",77
2,0,3,"(2, 0, 3)",77
4,6,5,"(4, 6, 5)",77
1,0,2,"(1, 0, 2)",77
2,0,1,"(2, 0, 1)",77
2,1,0,"(2, 1, 0)",77
1,2,0,"(1, 2, 0)",77
9,7,8,"(9, 7, 8)",72
7,9,8,"(7, 9, 8)",72
7,8,9,"(7, 8, 9)",72
9,8,7,"(9, 8, 7)",72
8,7,9,"(8, 7, 9)",72
8,9,7,"(8, 9, 7)",72
10,0,2,"(10, 0, 2)",63
0,10,2,"(0, 10, 2)",63
2,0,10,"(2, 0, 10)",63
2,10,0,"(2, 10, 0)",63
0,2,10,"(0, 2, 10)",63
10,2,0,"(10, 2, 0)",63
6,5,11,"(6, 5, 11)",55
11,5,6,"(11, 5, 6)",55
5,11,6,"(5, 11, 6)",55
5,6,11,"(5, 6, 11)",55
6,11,5,"(6, 11, 5)",55
11,6,5,"(11, 6, 5)",55
10,12,4,"(10, 12, 4)",42
10,4,12,"(10, 4, 12)",42
4,10,12,"(4, 10, 12)",42
12,4,10,"(12, 4, 10)",42
12,10,4,"(12, 10, 4)",42
4,12,10,"(4, 12, 10)",42
0,2,13,"(0, 2, 13)",39
2,13,0,"(2, 13, 0)",39
13,0,2,"(13, 0, 2)",39
13,2,0,"(13, 2, 0)",39
2,0,13,"(2, 0, 13)",39
0,13,2,"(0, 13, 2)",39
14,0,2,"(14, 0, 2)",39
14,2,0,"(14, 2, 0)",39
2,14,0,"(2, 14, 0)",39
0,14,2,"(0, 14, 2)",39
0,2,14,"(0, 2, 14)",39
2,0,14,"(2, 0, 14)",39
5,4,11,"(5, 4, 11)",29
14,16,15,"(14, 16, 15)",29
5,11,4,"(5, 11, 4)",29
11,4,5,"(11, 4, 5)",29
14,15,16,"(14, 15, 16)",29
15,14,16,"(15, 14, 16)",29
4,11,5,"(4, 11, 5)",29
15,16,14,"(15, 16, 14)",29
16,14,15,"(16, 14, 15)",29
16,15,14,"(16, 15, 14)",29
11,5,4,"(11, 5, 4)",29
4,5,11,"(4, 5, 11)",29
6,4,11,"(6, 4, 11)",28
6,11,4,"(6, 11, 4)",28
4,6,11,"(4, 6, 11)",28
11,4,6,"(11, 4, 6)",28
4,11,6,"(4, 11, 6)",28
11,6,4,"(11, 6, 4)",28
15,17,14,"(15, 17, 14)",27
14,15,17,"(14, 15, 17)",27
17,15,14,"(17, 15, 14)",27
14,17,15,"(14, 17, 15)",27
17,14,15,"(17, 14, 15)",27
15,14,17,"(15, 14, 17)",27
20,18,19,"(20, 18, 19)",26
21,22,23,"(21, 22, 23)",26
22,21,23,"(22, 21, 23)",26
19,18,20,"(19, 18, 20)",26
22,23,21,"(22, 23, 21)",26
21,23,22,"(21, 23, 22)",26
18,19,20,"(18, 19, 20)",26
20,19,18,"(20, 19, 18)",26
